Dataset,Feature,Accuracy,Precision,Recall,F1
thehamkercat_telegram-spam-ham,TF-IDF,0.8420876744643208,0.7215233345079449,0.7581104900570462,0.7393334183131153
thehamkercat_telegram-spam-ham,Bag of Words,0.8443974837821899,0.7326630726852873,0.7454003695327038,0.7389322366684895
thehamkercat_telegram-spam-ham,Word Embedding,0.8618537448397877,0.7742751478789802,0.7514224573592692,0.7626622775591202
FredZhang7_all-scam-spam,TF-IDF,0.873985794023314,0.8447825334646266,0.8483404757510901,0.8464452574434571
FredZhang7_all-scam-spam,Bag of Words,0.8600013763646132,0.7845705674169055,0.9084067795942303,0.8416965165995405
FredZhang7_all-scam-spam,Word Embedding,0.9347708794456772,0.9094691941060636,0.9336657619064195,0.921397501574108
prithivMLmods_Spam-Text-Detect-Analysis,TF-IDF,0.9683058147882267,0.9096390220282338,0.8479218935929234,0.8776236550048292
prithivMLmods_Spam-Text-Detect-Analysis,Bag of Words,0.9669418521177315,0.8957380924522182,0.8530142937018825,0.8737007926070964
prithivMLmods_Spam-Text-Detect-Analysis,Word Embedding,0.917013639626705,0.7294340139305562,0.6056142564264311,0.661478465947052
