no,Accuracy,Precision,Recall,F1,Feature
0,0.9687470671046458,0.9809990439770554,0.9418311151904544,0.9610161554671036,
1,0.977568897013771,0.9832957414444984,0.9614502065167508,0.9721709112202124,
2,0.981416962157468,0.986158199924038,0.9681046351537402,0.976987451001864,
3,0.9850302940053552,0.9884987326446136,0.9746730151445616,0.9814778170425816,
4,0.9870857086909102,0.9897652163017694,0.9784763653051858,0.9840342798078684,
5,0.988886126616868,0.9911836902886352,0.9814899801132017,0.9862646194050662,
6,0.9901386347739676,0.9920334076466016,0.9837245132105158,0.9878170611749711,
7,0.9912129216457208,0.9928857020088382,0.9855151445617256,0.9891462412971098,
8,0.992048484708079,0.9936123152622788,0.9868441180969864,0.9901799491977754,
9,0.9927591648871374,0.994182197398508,0.9880220284534188,0.9910586603493854,
std_dev,0.007631562512963421,0.004496671042393908,0.014461326937623059,0.009536665090021853,-
